鸭肉忌与兔肉、杨梅、核桃、鳖、木耳、胡桃、大蒜、荞麦同食,,
冬笋忌与羊肝同食,,
海参与醋相克；不宜与甘草同服,,
羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
鸡蛋不宜与糖同煮；与糖精、红糖同食会中毒；与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食,,
服用补药和中药白术、丹皮时，不宜服用香菜，以免降低补药的疗效；同时吃猪肉不可加香菜，否则助热生痰,,
1.食虾严禁同时服用大量维生素C，否则，可生成三价砷，能致死；2.不宜与猪肉同食，损精；3.忌与狗肉、鸡肉、獐肉、鹿肉、南瓜同食；4.忌糖；果汁与虾相克，同食会腹泻,,
黄鱼不能与中药荆芥同食；吃鱼前后忌喝茶；不宜与荞麦同食,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
1到1,,
鸭肉忌与兔肉、杨梅、核桃、鳖、木耳、胡桃、大蒜、荞麦同食,,
带鱼忌用牛油、羊油煎炸；不可与甘草、荆芥同食,,
豆腐不宜与菠菜、香葱一起烹调，会生成容易形成结石的草酸钙；豆腐忌于蜂蜜、茭白、竹笋、猪肝同食,,
鸡胸肉忌与野鸡、甲鱼、芥末、鲤鱼、鲫鱼、兔肉、李子、虾子、芝麻、菊花以及葱蒜等一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
鸡蛋清不能与白糖、豆浆、兔肉同食,,
鲤鱼忌与绿豆、芋头、牛羊油、猪肝、鸡肉、荆芥、甘草、南瓜、赤小豆和狗肉同食，也忌与中药中的朱砂同服；鲤鱼与咸菜相克,,
