sentence,relation,head,head_offset,tail,tail_offset
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,含有营养素,番薯,0,叶酸,24
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,含有营养素,番薯,0,叶酸,31
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,利于疾病,番薯,0,癌症,41
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,含有营养素,番薯,12,叶酸,24
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,含有营养素,番薯,12,叶酸,31
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,利于疾病,番薯,12,癌症,41
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,营养素疾病,叶酸,24,癌症,41
番薯是美味的粗粮，经常吃番薯有助于维持人体的正常叶酸水平，体内叶酸含量过低会增加得癌症的风险。,营养素疾病,叶酸,31,癌症,41
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,具有功效,番薯,0,胃肠蠕动,14
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,含有营养素,番薯,0,膳食纤维,7
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,利于疾病,番薯,0,便秘,21
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,利于疾病,番薯,0,结肠直肠癌,24
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,营养素疾病,膳食纤维,7,便秘,21
番薯中高含量的膳食纤维有促进胃肠蠕动、预防便秘和结肠直肠癌的作用。,营养素疾病,膳食纤维,7,结肠直肠癌,24
热呼呼的西红柿，全面补充营养，酸酸甜甜的味道还有助于开胃呢。,具有功效,西红柿,4,开胃,26
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,蛋白质,8
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,氨基酸,16
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,矿物质,37
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,钙,42
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,铁,43
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,硒,44
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,铁,49
牛肉营养丰富，其蛋白质含量很高，氨基酸组成更适合人体的需求，而且含有较多的矿物质，如钙铁硒等，尤其铁元素含量较高，并且是人体容易吸收的动物性血红蛋白铁。,含有营养素,牛肉,0,血红蛋白铁,70
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,0,滋润肠胃,21
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,0,促进肠胃的消化,26
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,0,排毒,34
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,0,排尿,36
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,0,保持骨骼和牙齿健康,59
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,0,钾,7
