recipe,rel,effect
子姜炒鸭片,has,补虚养身调理
子姜炒鸭片,has,滋阴调理
子姜炒鸭片,has,清热去火调理
海参一锅鲜,has,滋阴调理
海参一锅鲜,has,补虚养身调理
虾丸海参,has,滋阴调理
虾丸海参,has,补虚养身调理
家常熬黄花鱼,has,失眠调理
家常熬黄花鱼,has,神经衰弱调理
家常熬黄花鱼,has,产后恢复调理
醉花菇,has,滋阴调理
醉花菇,has,防癌抗癌调理
醉花菇,has,延缓衰老调理
红烧平菇,has,防癌抗癌调理
四川神仙鸭子,has,补虚养身调理
四川神仙鸭子,has,滋阴调理
四川神仙鸭子,has,营养不良调理
红烧刀鱼,has,营养不良调理
红烧刀鱼,has,高血压调理
红烧刀鱼,has,动脉硬化调理
麻辣豆腐,has,骨质疏松调理
麻辣豆腐,has,动脉硬化调理
蚝油熘滑鸡球,has,营养不良调理
绣球鱼,has,益智补脑调理
绣球鱼,has,营养不良调理
绣球鱼,has,通乳调理
金银绣球虾丸,has,阳痿早泄调理
金银绣球虾丸,has,补虚养身调理
冬瓜鸭盅,has,滋阴调理
冬瓜鸭盅,has,清热去火调理
冬瓜鸭盅,has,健脾开胃调理
原煨三丝鳝筒,has,补虚养身调理
原煨三丝鳝筒,has,气血双补调理
原煨三丝鳝筒,has,营养不良调理
杂瓣海参,has,补虚养身调理
杂瓣海参,has,气血双补调理
杂瓣海参,has,营养不良调理
粟子羊肉,has,冬季养生调理
粟子羊肉,has,补虚养身调理
粟子羊肉,has,延缓衰老调理
烟筒白菜,has,便秘调理
烟筒白菜,has,防癌抗癌调理
烟筒白菜,has,清热去火调理
大良炒鲜奶,has,营养不良调理
大良炒鲜奶,has,健脾开胃调理
椒麻鸡块,has,营养不良调理
椒麻鸡块,has,气血双补调理
椒麻鸡块,has,补虚养身调理
花生焖猪尾,has,壮腰健肾调理
花生焖猪尾,has,骨质疏松调理
花生焖猪尾,has,养颜美容调理
原汁武陵甲鱼,has,补虚养身调理
原汁武陵甲鱼,has,气血双补调理
原汁武陵甲鱼,has,滋阴调理
五香火肠,has,补虚养身调理
五香火肠,has,痔疮调理
清汤酿鸭掌,has,糖尿病调理
清汤酿鸭掌,has,养颜美容调理
鸡汁玉翠鱼丸,has,清热解毒调理
鸡汁玉翠鱼丸,has,便秘调理
鸡汁玉翠鱼丸,has,利尿调理
潇湘五元龟,has,补虚养身调理
潇湘五元龟,has,滋阴调理
潇湘五元龟,has,营养不良调理
红煨白鳝,has,结核病调理
红煨白鳝,has,营养不良调理
红煨白鳝,has,明目调理
虾酿竹荪卷汤,has,动脉硬化调理
虾酿竹荪卷汤,has,高血压调理
虾酿竹荪卷汤,has,补虚养身调理
凤菌一品豆腐,has,补虚养身调理
辣味豆腐盒,has,营养不良调理
清炖牛肉,has,补虚养身调理
清炖牛肉,has,气血双补调理
清炖牛肉,has,健脾开胃调理
香菇莴笋柱,has,健脾开胃调理
香菇莴笋柱,has,防癌抗癌调理
三鲜凤羹,has,高血压调理
三鲜凤羹,has,动脉硬化调理
三鲜凤羹,has,糖尿病调理
杏仁熘鸡丁,has,补虚养身调理
杏仁熘鸡丁,has,营养不良调理
杏仁鹌鹑片,has,气血双补调理
杏仁鹌鹑片,has,补虚养身调理
杏仁鹌鹑片,has,营养不良调理
锅贴牡丹鱼,has,健脾开胃调理
锅贴牡丹鱼,has,脾调养调理
锅贴牡丹鱼,has,补气调理
葱油桂鱼卷,has,营养不良调理
葱油桂鱼卷,has,补气调理
葱油桂鱼卷,has,脾调养调理
虾茸酿草菇,has,补虚养身调理
翡翠珍珠虾,has,便秘调理
翡翠珍珠虾,has,清热解毒调理
翡翠珍珠虾,has,贫血调理
韭白鱼丝,has,壮腰健肾调理
韭白鱼丝,has,补阳调理
韭白鱼丝,has,补气调理
黄耳鱼片汤,has,防癌抗癌调理
黄耳鱼片汤,has,高脂血症调理
黄耳鱼片汤,has,补虚养身调理
火腿鸡卷,has,补虚养身调理
火腿鸡卷,has,健脾开胃调理
火腿鸡卷,has,营养不良调理
油炝蚕豆,has,益智补脑调理
油炝蚕豆,has,健忘调理
油炝蚕豆,has,防癌抗癌调理
鳅鱼附豆腐汤,has,清热去火调理
鳅鱼附豆腐汤,has,夏季养生调理
鳅鱼附豆腐汤,has,补虚养身调理
鳅鱼附豆腐汤,has,补阳调理
三层楼,has,高血压调理
三层楼,has,高脂血症调理
三层楼,has,动脉硬化调理
冬菇烧猪脑髓,has,益智补脑调理
冬菇烧猪脑髓,has,健忘调理
韭花肚尖丝,has,明目调理
韭花肚尖丝,has,便秘调理
汤泡仔鸡,has,营养不良调理
汤泡仔鸡,has,健脾开胃调理
汤泡仔鸡,has,补虚养身调理
枸杞青豆鸡米,has,健脾开胃调理
枸杞青豆鸡米,has,贫血调理
枸杞青豆鸡米,has,明目调理
枸杞青豆鸡米,has,月经不调调理
白汁玻璃鱼片,has,营养不良调理
白汁玻璃鱼片,has,补虚养身调理
清蒸鲫鱼,has,营养不良调理
菊花冬笋桂鱼羹,has,营养不良调理
菊花冬笋桂鱼羹,has,补气调理
菊花冬笋桂鱼羹,has,脾调养调理
锅贴鸽蛋,has,营养不良调理
锅贴鸽蛋,has,补虚养身调理
锅贴鸽蛋,has,气血双补调理
明月鸽蛋汤,has,补阳调理
明月鸽蛋汤,has,营养不良调理
什锦烩蛋丁,has,营养不良调理
什锦烩蛋丁,has,补虚养身调理
虾蛋烧海参,has,补阳调理
虾蛋烧海参,has,滋阴调理
湘江四色喜,has,养颜美容调理
湘江四色喜,has,防癌抗癌调理
湘江四色喜,has,营养不良调理
包公鱼,has,健脾开胃调理
包公鱼,has,补虚养身调理
包公鱼,has,产后恢复调理
玉兔海参,has,补虚养身调理
玉兔海参,has,延缓衰老调理
油鸡,has,补虚养身调理
油鸡,has,健脾开胃调理
烹子鱼,has,健脾开胃调理
烹子鱼,has,营养不良调理
清炒塘鱼片,has,通乳调理
清炒塘鱼片,has,清热去火调理
清炒塘鱼片,has,益智补脑调理
虾仁珊瑚,has,清热去火调理
虾仁珊瑚,has,营养不良调理
虾仁珊瑚,has,高血压调理
酱油嫩鸡,has,补虚养身调理
酱油嫩鸡,has,健脾开胃调理
酱油嫩鸡,has,营养不良调理
卤汁面筋,has,健脾开胃调理
卤汁面筋,has,动脉硬化调理
酥鲫鱼,has,通乳调理
酥鲫鱼,has,利尿调理
奶汤鲜核桃仁,has,益智补脑调理
奶汤鲜核桃仁,has,便秘调理
肺汤,has,消化不良
肺汤,has,产后恢复调理
肺汤,has,滋阴调理
黄焖野兔,has,补虚养身调理
黄焖野兔,has,营养不良调理
清汤鸡蒙冬菇,has,健脾开胃调理
清汤鸡蒙冬菇,has,防癌抗癌调理
清汤鸡蒙冬菇,has,动脉硬化调理
芙蓉豆腐汤,has,动脉硬化调理
芙蓉豆腐汤,has,骨质疏松调理
珊瑚鱼条,has,营养不良调理
珊瑚鱼条,has,小儿厌食调理
连锅子,has,便秘调理
连锅子,has,滋阴调理
连锅子,has,贫血调理
猴头蘑菇菜心,has,防癌抗癌调理
猴头蘑菇菜心,has,高脂血症调理
春丝吐香,has,清热解毒调理
春丝吐香,has,健脾开胃调理
春丝吐香,has,减肥瘦身调理
素油菜心,has,高脂血症调理
熊掌豆腐,has,骨质疏松调理
熘鸡卷,has,滋阴调理
熘鸡卷,has,贫血调理
青椒玉米,has,高脂血症调理
青椒玉米,has,高血压调理
青椒玉米,has,便秘调理
三珍烩鲍脯,has,高血压调理
三珍烩鲍脯,has,益智补脑调理
三珍烩鲍脯,has,动脉硬化调理
芙蓉海四宝,has,补虚养身调理
芙蓉海四宝,has,气血双补调理
芙蓉海四宝,has,营养不良调理
三鲜鹌鹑蛋,has,补虚养身调理
三鲜鹌鹑蛋,has,壮腰健肾调理
三鲜鹌鹑蛋,has,营养不良调理
“寿”字鸭羹,has,补虚养身调理
“寿”字鸭羹,has,滋阴调理
“寿”字鸭羹,has,营养不良调理
“寿”字鸭羹,has,防癌抗癌调理
什锦粉丝,has,营养不良调理
什锦粉丝,has,健脾开胃调理
崂山十珍会,has,延缓衰老调理
崂山十珍会,has,益智补脑调理
龙舟鳜鱼,has,补气调理
龙舟鳜鱼,has,结核病调理
龙舟鳜鱼,has,补虚养身调理
酿鸳鸯海参,has,补虚养身调理
酿鸳鸯海参,has,滋阴调理
烧卖海参,has,补虚养身调理
烧卖海参,has,滋阴调理
五香糖熏兔肉,has,营养不良调理
五香糖熏兔肉,has,健脾开胃调理
五香糖熏兔肉,has,减肥瘦身调理
炖虾蓉豆腐丸子,has,补虚养身调理
炖虾蓉豆腐丸子,has,营养不良调理
西红柿双参地牛尾,has,壮腰健肾调理
西红柿双参地牛尾,has,补虚养身调理
西红柿双参地牛尾,has,营养不良调理
黄焖带皮虾,has,壮腰健肾调理
黄焖带皮虾,has,补阳调理
黄焖带皮虾,has,阳痿早泄调理
大蒜家常豆腐鱼,has,骨质疏松调理
大蒜家常豆腐鱼,has,产后恢复调理
银蹄海参,has,滋阴调理
银蹄海参,has,补虚养身调理
凤片海参,has,滋阴调理
凤片海参,has,补虚养身调理
麻酱海参,has,滋阴调理
麻酱海参,has,补虚养身调理
椒香海参,has,滋阴调理
椒香海参,has,补虚养身调理
椒香海参,has,健脾开胃调理
雪花海参,has,滋阴调理
雪花海参,has,补虚养身调理
六味海参,has,滋阴调理
六味海参,has,心调养调理
六味海参,has,补虚养身调理
扒白菜卷,has,贫血调理
扒白菜卷,has,糖尿病调理
扒白菜卷,has,便秘调理
炒鹌鹑,has,补虚养身调理
鸡汤小豆腐,has,高血压调理
葱酥鲫鱼,has,健脾开胃调理
葱酥鲫鱼,has,产后恢复调理
葱酥鲫鱼,has,通乳调理
双冬氽肉丸子,has,贫血调理
双冬氽肉丸子,has,滋阴调理
双冬氽肉丸子,has,消化不良
虾皮豆腐炒蛋,has,骨质疏松调理
通心河鳗,has,结核病调理
通心河鳗,has,明目调理
通心河鳗,has,补虚养身调理
坛烧肥鸡,has,健脾开胃调理
坛烧肥鸡,has,补虚养身调理
煨白汁鸡,has,健脾开胃调理
煨白汁鸡,has,补虚养身调理
煨白汁鸡,has,营养不良调理
福建七星鱼丸汤,has,结核病调理
福建七星鱼丸汤,has,补虚养身调理
福建七星鱼丸汤,has,明目调理
温州肉松,has,滋阴调理
温州肉松,has,贫血调理
