recipe,rel,material
子姜炒鸭片,contains,子姜
海参一锅鲜,contains,荸荠
虾丸海参,contains,猪肉(肥)
家常熬黄花鱼,contains,猪肉(肥瘦)
四川神仙鸭子,contains,香菇（干）
红烧刀鱼,contains,春笋
麻辣豆腐,contains,冬笋
蚝油熘滑鸡球,contains,蘑菇(鲜蘑)
绣球鱼,contains,红辣椒
金银绣球虾丸,contains,鱿鱼(干)
冬瓜鸭盅,contains,火腿
原煨三丝鳝筒,contains,冬笋
杂瓣海参,contains,鸡蛋
粟子羊肉,contains,白萝卜
烟筒白菜,contains,发菜（干）
清莲花豆腐,contains,火腿
大良炒鲜奶,contains,鸡蛋清
花生焖猪尾,contains,淀粉(蚕豆)
原汁武陵甲鱼,contains,火腿
五香火肠,contains,火腿
清汤酿鸭掌,contains,竹荪(干)
鸡汁玉翠鱼丸,contains,鸡蛋清
潇湘五元龟,contains,荔枝
红煨白鳝,contains,大蒜
虾酿竹荪卷汤,contains,鸡蛋清
凤菌一品豆腐,contains,干贝
辣味豆腐盒,contains,虾米
清炖牛肉,contains,青蒜
三鲜凤羹,contains,鸡蛋清
杏仁熘鸡丁,contains,蘑菇(鲜蘑)
杏仁鹌鹑片,contains,丝瓜
锅贴牡丹鱼,contains,樱桃
葱油桂鱼卷,contains,冬笋
虾茸酿草菇,contains,肥膘肉
翡翠珍珠虾,contains,肥膘肉
韭白鱼丝,contains,鸡蛋
黄耳鱼片汤,contains,鸡蛋
鳅鱼附豆腐汤,contains,冬笋
韭花肚尖丝,contains,红辣椒
汤泡仔鸡,contains,口蘑
枸杞青豆鸡米,contains,枸杞子
白汁玻璃鱼片,contains,鸡蛋
清蒸鲫鱼,contains,肥膘肉
菊花冬笋桂鱼羹,contains,菊花
锅贴鸽蛋,contains,鸡蛋
明月鸽蛋汤,contains,火腿
什锦烩蛋丁,contains,火腿
虾蛋烧海参,contains,香菇（鲜）
香菇盒,contains,鸡蛋
玉兔海参,contains,香菇（鲜）
油鸡,contains,草果
烹子鱼,contains,丁香
清炒塘鱼片,contains,鸡蛋清
虾仁珊瑚,contains,虾仁
卤汁面筋,contains,香菇（鲜）
奶汤鲜核桃仁,contains,火腿
肺汤,contains,香菇（鲜）
黄焖野兔,contains,玉兰片
清汤鸡蒙冬菇,contains,冬笋
芙蓉豆腐汤,contains,香菇（鲜）
珊瑚鱼条,contains,冬笋
芹黄肉丝,contains,黄豆粉
猴头蘑菇菜心,contains,番茄
春丝吐香,contains,玉兰片
熊掌豆腐,contains,蒜苔
熘鸡卷,contains,芥蓝
青椒玉米,contains,青椒
芙蓉海四宝,contains,香菜
三鲜鹌鹑蛋,contains,海参（水浸）
“寿”字鸭羹,contains,鸡蛋清
什锦粉丝,contains,虾米
龙舟鳜鱼,contains,虾脑酱
酿鸳鸯海参,contains,虾脑酱
烧卖海参,contains,鸡蛋
炖虾蓉豆腐丸子,contains,鸡蛋
西红柿双参地牛尾,contains,香菜
黄焖带皮虾,contains,香菇（鲜）
麻酱海参,contains,芦笋
椒香海参,contains,冬笋
雪花海参,contains,鸡肉
六味海参,contains,香菜
炒鹌鹑,contains,玉兰片
鸡汤小豆腐,contains,鸡蛋
双冬氽肉丸子,contains,猪肉(肥)
虾皮豆腐炒蛋,contains,鸡蛋
通心河鳗,contains,香菇（鲜）
坛烧肥鸡,contains,冬笋
煨白汁鸡,contains,小麦面粉
福建七星鱼丸汤,contains,虾仁
什锦豆腐煲,contains,海虾
包心鱼丸,contains,香菇（鲜）
红糟鸡丁,contains,冬笋
柴把笋,contains,鸡蛋清
栗子烧白菜,contains,栗子（熟）
瓤青头菌,contains,鸡肉
素酸辣汤,contains,鸡蛋
荷花熘鸡片,contains,莲花
生炒鸡丝掐菜,contains,淀粉(蚕豆)
八宝桂鱼盒,contains,肥膘肉
娘娘爱,contains,火腿
芙蓉鸡,contains,鸡蛋清
福寿全鸡,contains,香菇（鲜）
炝腐竹鲜蘑,contains,冬笋
三鲜豆腐,contains,香菇（鲜）
镜泊鲤丝,contains,黄豆芽
糖醋瓦块鱼,contains,冬笋
鲶鱼豆腐酒锅,contains,菠菜
焖香鸡,contains,冬笋
东北家常熬鱼,contains,猪肉(肥瘦)
水炒鸡蛋,contains,木耳(水发) 
烧八宝老豆腐,contains,冬笋
冰城山珍砂锅,contains,菠菜
什锦粟米羹,contains,淀粉(玉米)
豆腐圆子,contains,虾米
双冬炖老豆腐,contains,香菇（干）
上海蒸鱼,contains,冬笋
冰豆腐塌菜,contains,冬笋
香蕉奶冻,contains,牛奶
清炖石鸡,contains,猪肉(肥瘦)
骰子脑髓,contains,鸡蛋清
炒兔丝,contains,淀粉(蚕豆)
樱桃肉冻,contains,樱桃
活豆腐,contains,木耳(水发) 
粉蒸鸭子,contains,稻米
黄芪羊肉汤,contains,黄芪
木耳疙背,contains,鸡蛋清
风霜雪叶,contains,玉兰片
福荣肉,contains,小麦面粉
神仙鸡,contains,木耳(水发) 
栗子黄焖鸡,contains,鸡蛋
捶鸡片,contains,冬笋
芙蓉羊肚菌,contains,鲻鱼
黄花素鱼翅,contains,香菇（干）
柴把鸭子,contains,冬笋
红烧西施乳,contains,荸荠
鸡水奶汤干丝,contains,鸡肉
焖兔肉,contains,生菜
罗汉菜心,contains,鸡蛋清
鸡茸鱼肚,contains,金华火腿
卷茸白菜,contains,木耳(水发) 
炸烹铁雀,contains,香菜
五香麻雀,contains,丁香
胡萝卜浆汤,contains,稻米
京式八宝豆腐,contains,鸡肉
荷花鱼丝,contains,莲花
龙舟活鱼,contains,鸡胸脯肉
漂浮鱼片汤,contains,蘑菇(鲜蘑)
菊花熘鸡脯,contains,菊花
鲜莲鸡丁,contains,莲子
滑炒鸡片,contains,冬笋
烩生鸡丝,contains,玉兰片
口蘑焖豆腐,contains,口蘑
番茄炒菜花,contains,番茄
肉烧白菜,contains,猪肉(瘦)
水豆腐花汤,contains,红菇
开洋冬瓜汤,contains,虾米
高丽凤尾虾,contains,生菜
白菜炒肉丝,contains,猪肉(瘦)
五彩豆芽,contains,柿子椒
雪里蕻豆瓣汤,contains,芥菜
锅塌鲤鱼,contains,香菇（鲜）
芹酥鲫鱼,contains,芹菜
豆腐包子,contains,虾米
炒鱼丝,contains,猪肉(瘦)
番茄煨鱼,contains,玉兰片
八卦豆腐,contains,香菇（干）
鱼兜子,contains,冬笋
清蒸丸子,contains,口蘑
淡菜嵌肉,contains,火腿
清蒸钓带,contains,冬笋
莲香脱骨鸡,contains,火腿
糟熘鱼白,contains,鸡蛋清
蛋奶虾球,contains,鸡蛋清
冬菇面筋,contains,小白菜
雪花鱼丝羹,contains,火腿
腐皮黄鱼包,contains,火腿
白油鸡枞,contains,火腿
蛤肉木耳煮豆腐,contains,木耳(干)
